리뷰	플레이타임	유용한 평가	재밌는 평가	구매게임 수	작성 년도	작성 월	label
1시간하고 끔. 근데 체감만 1시간이었음	244.8	118	184	54	2019	6	1
보라색 상추는 펠리컨마을 최고의 특산품	66.4	165	209	531	2019	4	1
please..... i want to Korea version. i think that this is perfect game.so i want to understand more about the story in Korean.	220.6	189	7	3	2018	12	1
나는 동물의 숲 없는 찐따이기 때문에 스타듀밸리를 한다	141.0	132	89	188	2020	4	1
이젠 제 고향이 스타듀밸리인 것 같아요	130.0	107	132	307	2019	2	1
게임 안에 사람들이 있다고	218.2	85	94	20	2021	6	1
한국어 지원만 해주시면 진짜 완벽한데... 최곤데...	85.0	120	6	21	2018	12	1
Product received for free Please make Korean	13.3	92	8	23	2018	10	1
마법사 결혼패치좀	134.0	142	31	1	2017	6	1
극한의 효율충이라면 게임하기 피곤할수가 있다.말이야 적당히 즐기면서 하고싶은대로 하면 됨 ㅇㅇ 하는데 김치맨 종특상 그게 쉽지가 않음.하다보면 밭 한번이라도 더 갈려고 에너지바 처먹고, 물고기 하나라도 더 잡으려고 새벽 아슬아슬할때까지 낚시질하고 있음적당히 돈좀 벌어서 농장꾸미고 즐겜해야지 하는데 돈좀 빵빵하게 벌린다 싶으면 흥미를 잃게됨하지만 그런거 다 감안해도 갓겜임은 분명하다.	24.1	124	52	117	2019	11	1
여기 리뷰에서 공략을 보고 하는 게임이 아니라고 리뷰 남겨놓았는데 모두가 그렇지는 않은것 같다.내 경험을 읊자면 공략없이 1년째를 맞이할때쯤 되니까 굉장히 게임이 루즈하게 느껴짐.봄 여름 가을에 농사하고 겨울엔 광산탐험하고 그냥 그렇게 돈벌어서 살면 되는건가 했는데 이게 굉장히 재미가 없었다.당연하게도 누가 게임을 하면서 맨날 똑같은 일이 일어나는걸 반기는가? 그게 좋았다면 이미 메이플하러 갔을거다.매번 한달에 2번씩 있는 행사가 오기만을 기다렸는데 1년이 지나니까 결국 행사도 똑같은 걸 반복하게 된다.그래서 도저히 못 참고 공략을 보니까, 이 게임 연애도 가능하고 결혼도 가능하고 농사같은 반복적인일을 굳이 힘들게 안해도 되고 심지어 겨울엔 온실을 얻어서 농사도 할 수 있다고 한다.ㅁㅊ....공략을 보면 안된다는 말에 쫄아서 그냥 했다가 나는 1년의 플레이타임을 손해봤다.누군가는 이글 읽고 손해보는 일 없도록 하고 본인이 꼭 필요한 정보는 반드시 찾아보기를 권장한다.결론적으로는 이 게임은 단순한 노가다가 짙을 것 같으면서도 굉장히 다양한 이벤트를 준비해놨다.설명충은 아니라서 이것저것 그걸 알게 해주는 힌트는 있어도 나처럼 눈치가 느리면 모르고 지나치기 쉽다.게임은 플레이어가 투자하는 시간만큼 값어치 있는 보상을 할 줄 안다.(여기 미니게임은 어려우면서도 단순히 업적깨기용이지만 미니게임이란게 원래 기존 게임 틀을 벗어나 잠시 쉬는용으로 하는 게임이니 그러려니 하자)고로 나는 이 게임에 추천을 한다.	131.2	104	14	180	2018	7	1
너무 재밌어요 스타듀벨리 매일매일 하고있는데 질리지가 않아요사실 10시간만 해서 그런걸수도 있는데돈 버는게 너무 재밌어요만원 벌고 행복해하는 삶이 너무 좋아요소소하게 행복해할 수 있어요대신 날짜 확인을 잘 하셔야 해요저 방금 가을로 넘어가는거 확인 못하고막 심었다가작물을 다 죽였어요아까운 아이들..자고 일어나니까 다들 죽어있더라고요...꼭 날짜확인을 잘 하고 심으세요다 자라기도 전에 죽어버릴 수 있거든요진짜 슬프다그리고노트북 터치패드로 절대 하지 마세요딸깍딸깍 소리에 노이로제 걸릴거같아요꼭 마우스 쓰세요저같은 실수 하지마세요 제발친구랑 의미없는 대화하면서 하면더 재밋어요근데 친구랑 하는것도 재밌어요 전 친구 없어서 안해봤지만..재밌을거예요부디 이걸 읽는 분은친구가 있어서친구랑 같이 해보시고후기 남겨주셨으면 좋겠어요제 친구는 친구가 많아서 숨바꼭질도 했대요진짜 부럽다아무튼 재밌어요 추천해요영혼없어보이지만 진짜예요재미없으면 이것도 안썻어요찐으로 재밌어요나도 스듀에 나오는 스파게티 먹어보고싶다	24.6	92	65	6	2020	12	1
공략보고 하지마세요겜 수명이줄어듬	52.8	72	7	36	2018	2	1
정말 아무것도 모르는채로 시작하면 제대로 된 힐링이 될것이고조금 아는 상태로 시작하면 조금 즐기면서 할 수 있을 것이며많이 알아보고 시작하면 제대로 된 노가다 시작이다	90.3	67	17	11	2019	4	1
현실에서보다 더 열심히 사는 중	131.4	68	45	19	2021	2	1
매일 비왔으면 좋겠다	210.7	77	46	53	2018	2	1
느긋하고 평화롭게 즐길수있는 힐링농장겜입니다. 작물을 재배하고 광물을캐서 자원도얻고 낚시를 하기도하며 원하는npc의 호감도를 높여서 배우자로 만들수도있죠. 하지만 한국사람이라면 자본주의의 맛을 알기때문에 당근빳다로 농노처럼 일해서 처음 가지고있던 500원을 순식간에 불려버립니다.저같은 경우는 돈을 효율적으로 벌기위해 신중에 신중을 가하다보니 1년차를 보내는데 약 100시간을 보냈군요.	137.2	93	46	80	2017	6	1
여러분들 좀만 기다리시면 한글화 될거 같네여https://stardewvalley.net/faq/에서 2018, we’re planning to add support for Italian, French, Korean and Turkish! 라고 나와있습니다다근데 벌써 2년지났는데 왜 이제 해주냐;;	60.0	93	3	67	2018	9	1
완전 재밌다. 정말 시간가는줄 모르고 게임하는듯!!장점.1. 한글패치. (완벽한 한글은 아니지만, 게임플레이에 지장은 없다.)2. 플레이가 어렵지 않고, 한글패치!!!3. 연애가 은근 꿀잼인데다가, 한글패치!!4. 나만의 스타일의 농장과 집을 꾸미는 재미!! 그리고 한글패치.. 5.6.7.8.9.....갓.한.글.＃단점.1. 초반에 물주는게 정말.. 왜 할아버지께서 농사하시다가 돌아가셨는지 알겠더라.	261.3	110	175	355	2016	3	1
할아버지의 평가를 신경 쓰지 말고 하고 싶은대로 하세요.공략은 보지 않으셔도 됩니다. 게임 내 TV나 수집하는 책에서 설명 해 줍니다.할아버지는 평생 농장에서 사셨죠, 플레이어에게는 3년차에 평가를 내립니다.할아버지가 평생 이룬 업적을 3년 안에 다 하기란 힘든 일이죠.그 평가를 고득점을 받으려고 열심히 하지만 스타듀밸리의 시간은 3년 이후로도 계속 흘러간다는 걸 기억해 주세요.즐거운 플레이 되시길 바랍니다.	172.5	78	5	71	2018	10	1
공략 보지마라 공략보면 노잼 게임된다 이게임은 공략보면서 하는거 아니다	119.3	65	2	42	2020	8	1
게임을 시작할 때만 해도 힐링을 위해 작은 시골마을로 귀촌하러 온 사람인 줄 알았습니다.정신을 차려보니 재벌급 부농이 되어 마을 전체를 하렘으로 만들어버렸고지금은 그냥 소소하게 열댓명의 연인들과 놀거나 카지노를 들락거립니다...	148.6	56	66	11	2021	7	1
멀티플레이가 드디어나왔네요 이제 공식한글화만 된다면 좋을거같습니다.	147.4	72	3	42	2018	5	1
리그오브레전드를 접게 만든 게임입니다.트롤과 욕설, 패드립, 스트레스, 부캐학살에 지치셨다면 꼭한번 플레이 해보세요.제 자신도 모르게 롤 클라이언트가 아닌 스팀을 키고 스타듀밸리에 들어와 하루종일 고수익을 내기위해 계산기를 꺼내고 있을지도 모릅니다.아, 물론 힐링게임 맞습니다.	42.2	85	62	5	2020	12	1
한글패치점	170.9	56	4	52	2018	8	1
나도 모르게 1000시간 하는 나를 발견하게 됨	1322.6	49	8	16	2021	2	1
모두가 내 남자친구였다	224.8	65	51	16	2021	6	1
처음 할 땐 핵노잼이었습니다.정해진 시간동안 많은 돈을 모아야한다는,강박에 시달리는 노동형 게임은 취향이 아니거든요그러던 어느날, 저는 봐버렸습니다.이진법으로 이루어진 도트들에게 댄스신청을 거절당하고,야밤에 낫을 휘두르며 부르짖는 옥냥아저씨의 모습을.덕분에 저는 깨달아버렸습니다.이건 노동게임이 아니란 것을.	226.7	90	98	81	2020	1	1
일한만큼 돈을 벌 수 있습니다.이것만해도 갓겜아닙니까?일은 젼나게 해도사장새끼들한테 착취당해서 돈이 안모이는직장인들의 꿈같은 게임입니다.일때려치고 게임속으로 들어가고싶네여	119.8	68	33	199	2017	7	1
남자 여자 상관없이 연애할수있고 동시에 10명까지 양다리 가능하다고 누구누구씨가 꼬셔서 사게 되었는데 (넘어감)실제로는 맨날 낮잠자가면서 밭에 물주고... 낚시하고... 광산갔다가...아니 마을 사람들 워라벨이 좋아서 4시에 문닫고 무슨 마트가 5시에 문닫아 아니 그리고 수요일에 놀면 조자마트는 언제이기려고 어!!!기껏 선물했더니 자기는 이거 싫어한다 그러질 않나 아니 조개껍대기 이쁘잖아! 맨날 파스닙 따위나 좋아하고 말이야생일선물 주면 와! 고마워 하고 웃어줬다가 말걸면 표정 꾸깃해져서 너 누군데 나 아는척하냐는 표정 짓고... 서러워,..!!내생일 한번 챙겨준적 없으면서...ㅍㄷㅍㄷ 오래살아도 마을달력에 내생일 적어주지도 않고 엉엉라이너스는 맨날 동굴에서 구해주면서 지가 뭐 챙기고 구해다 주질않나 분명 애들 후리고 다니는 게임이랬는데...왜 맨날 농사짓고 낚시한기억밖에 없을까여...하지만! 그럼에도 불구하고 다시하고싶다는 생각이 드는 힐링(?)게임입니다 ^^	514.8	45	73	196	2020	3	1
셰인 드럽게 싸가지없네	6.5	71	45	88	2019	6	1
농사 조아 아무리 친밀도가 낮다지만 마을사람들이 지나치게 도도함 처음보는 사람한테 꺼지라고함 NPC도 때릴수있게 패치해주세여ㅠㅠ	156.0	44	77	116	2019	10	1
여기서 까지 한국인종특처럼 게임하시지말고 천천히 그리고 재밌게 하시면 좋겠어요 힐링받으려고 하는거지 스트레스 받으려고 하는게 아니잖아요? 너무 돈에 목숨거시지 마세요 돈이 많아지면 물론 살게 많아지긴하지만 돈이없을때가 제일 재밌거든요	72.8	48	3	26	2020	8	1
힐링 갓-겜	41.6	74	11	54	2017	6	1
마켓에서 파는 병아리 가격이 내가 키운 닭값보다 비싼 더러운 축산업계 현주소와 음식을 만들어 팔아도 재료값도 안나오는 자영업자의 고통을 느낄수 있는 개창렬 게임. 돈 없으면 아침 6시부터 눈뜨자 마자 달려나가서 농작물에 물주고 나무 패야되는 연애는 꿈도 못꾸는 리얼리티는 덤입니다	12.7	73	158	779	2017	11	1
ㄹㅇ 이시국에 닌텐도 없는 사람들이 할수있는 완벽한 대체품	164.4	47	11	23	2020	4	1
Product received for free 좋은데 한글 버전좀.	132.3	67	6	8	2018	6	1
가끔씩 생각나서 돌아가면 어마어마한 공장을 마주하고 새 판으로 시작하는 게임....	64.4	44	9	17	2020	12	1
이건 분명 힐링 게임이지만나도 모르게 극한의 효율을 신경쓰며 어느새 농장이 아닌 거의 공장을 만들고 있었다..	217.0	54	34	65	2020	11	1
한글패치 은제하냐? 그때 올란다.	305.3	61	5	36	2018	10	1
완전 재미없음. 한번 하면 8시간씩 하는 정도. ㅡ ㅡ	104.0	57	73	5	2021	7	1
살어리 살어리랏다 성로(星露)에 살어리랏다멀위랑 ᄃᆞ래랑 먹고 성로(星露)에 살어리랏다얄리얄리 얄랑셩 얄라리 얄라ㅡ 별이슬골의 사다새 마을에 어서 오세요	45.0	59	41	1759	2020	6	1
재밌습니다...	2378.5	44	8	99	2019	2	1
안녕하세요, 보통 도전과제 다 깨고 리뷰 올리는게 습관인데 140시간 플레이하고도 아직 70% 밖에 못 찍어서 우선 올립니다. 전 사실 구매하기 전에 귀농하는 게임이라고 해서 취향이 안 맞을까 살짝 걱정했습니다, 비슷한 고민을 가지신 분들도 계실 것 같아 올립니다. 구매하세요! Stardew Valley는 인생 게임입니다! 풀 프라이스로 샀는데 할 것이 굉장히 많습니다. 너무 재밌습니다. 이런 분한테 추천합니다. 취향이 살짝 안 맞아도 재밌게 할 수 있습니다. - 잔잔하고 아기자기한 것 좋아하시는 분들 - 자기만의 농장과 집을 꾸미는 것 좋아하시는 분들 - 자극적인 게임에 지치신 분들 저는 정말 좋아하는 게임이지만 취향에 안 맞는 분들이 있을 수도 있는데요, 이유를 들어보자면..1. 비슷한 패턴. 초반에 정말 할 것이 많습니다. 할 것이 많아서 지루하지 않게 이것 저것 계속 할 수 있지만 기본적으로 하루와 사계절(봄,여름,가을,겨울)의 패턴이 똑같습니다. 그 말인즉슨 일년을 보내고 나면 똑같은 이벤트가 나오니까 큰 틀에서는 같은 패턴입니다. 물론 일년 후에도 저는 도전 과제 (생선 종류별로 잡기, 등등) 달성하느라 지루함을 못 느꼈습니다. 여전히 하루 하루가 충실합니다. 2. 긴 텀. 하루의 텀이 굉장히 깁니다. 아침 6시에 기상해서 늦어도 저녁 12시~1시에 자는데 이 모든 시간을 다 보낸다고 하면 대충 30분은 플레이해야 합니다. 물론 바로 침대로 가서 자면 하루가 지나가지만 초반에는 바빠서 하루를 꼭 다 채웁니다. 2-3일 플레이하면 1시간은 금방 갑니다. 아시겠지요? 과제 전부 달성하려면 모아야 할 것이 많은데 이러면 정말 긴 세월(?)을 보내야 합니다. 아무리 능숙한 사람도 게임 내에서 한 3-4년은 최소 있어야 하지 않을까 .. 물론 저처럼 처음하는 사람은 더 오래 걸립니다. 초반에 모르는게 많아서 많이 놓치거든요. 하지만 놓쳐도 언제든지 다시 할 수 있습니다. 이미 3년차인데 아직 70%만 달성했습니다. 조급해하지 말고 세월아 네월아 하고 싶은거 하시면서 이것 저것 다 즐기도록 만들어 놨습니다. 성격이 급하거나 쉽게 질리는 분들한테는 조금 안 맞을 수 있습니다. 2회차의 의미가 없다고 생각이 되는 게임입니다. 저는 한 농장 가지고 140시간하고 있거든요 ;; 단점은 있지만 가격이 너무 혜자입니다. 게임도 재밌구요. 저는 요즘도 자면서 내일은 농장에서 뭐 해야지 생각하다가 잠이 듭니다..ㅋㅋ 조금만 조급함을 버리고 즐기면 치킨 한 마리 가격도 안 되는 돈을 가지고 주구장창 즐길 수 있습니다. 개인적으로는 워낙 할 게 많아서 쉽게 늘어지지도 않더군요. 밸런스를 잘 잡았습니다. 강력추천합니다. 꼭 사세요. 개꿀잼입니다.	204.6	46	4	280	2019	3	1
준나게 하다가 질리면 몇 달 쉬고 다시 하면 또 개존잼인 게임	177.3	41	1	15	2021	4	1
부농이 되기 위해 빡시게 달렸지만부농이 되는 그 기다렸던 순간보다그 과정이 더 보람찼다는걸 느끼게 해주는 게임입니다.한마디로 안정기에 도달하면 할게 없음	75.5	40	5	61	2019	10	1
내 인생을 망치러 온 나의 구원자	873.7	48	61	6	2019	3	1
딴건 다 빼도 초상화리텍없이는 게임 못하겠다	131.9	45	9	46	2021	8	1
와이프 눈치보면서 페니와 결혼했습니다. 짜릿하네요	116.4	71	148	10	2020	10	1
사회 생활에 찌들어 쉬려고 시작했다. 그랬는데 어째서인지 메모장 켜서 NPC들 좋아하는 선물, 동선 기록하고, 어떤 작물이 자라는 시간 대비 금액이 비싼지 계산을 하고 있다. 잘 꾸며놓은 스크린샷보고 나도 저렇게 해볼까 싶었는데 꾸미기는 커녕 허수아비, 스프링쿨러 효율 고려해서 괴발개발로 박아놓고, 할 일 없으면 무조건 던전 가거나 낚시를 하게 된다.이게 쉬는 건지 일하는 건지 모르겠다.그래도 재밌음.	108.7	50	37	373	2020	6	1
멀티나오면 함	52.3	35	5	177	2018	4	1
내방 청소도 안하는데 마당을 청소하고 있는 내 모습을 발견할 수 있습니다.	36.9	50	35	756	2019	7	1
여기서 살고싶다	381.6	42	14	44	2020	2	1
Product received for free 너무 재밌어요 빨리 어른이 돼서 저도 저렇게 평화롭고 작은 시골마을에서 농사짓고 물고기 잡으면서 살고싶어요	61.2	43	13	29	2021	2	1
드디어 좀 질림. 그런데 1.5나오면 다시 열심히 하겠지... 바닐라로도 300시간은 충분하고 공식카페 가입하셔서 모드 깔고 깔면서 즐기면 +400시간 됨.게임 정말 한번도 안해본 사람도 가볍게 즐기기 좋음. 노트북에서도 아주 잘 돌아감. 다만 사면 시간이 순식간에 녹아버리므로 주의.	976.1	45	4	8	2020	11	1
청혼하면 무조건 받아주는 갓겜	106.7	47	49	94	2017	2	1
절.대.공.략.보.지.마	200.7	40	3	77	2020	7	1
할아부지... 할아부지 혼자서 이 땅을 어떻게 관리하신거유가끔 밭일하다 지쳐서 할아부지가 눈앞에 보이고 그래유오늘은 사과나무 하나 심어야 되는디 수요일이라 가게휴일이라네유어쩔 수 없네유 근처 공터에 풀이라도 베어야겠어유아이고 이 눔의 닭시끼들은 왜 또 우리에서 빠져나와서 시끄럽게 빽빽 싸대고 그런댜?이눔의 개시끼는 닭시끼들 관리하라고 최고오급 사료까지 주는디 저 개집에서 뼈다귀 물고 잠들고 있네 그려그것보다 일주일 스케줄이 할 게 너무 빡빡해유오늘은 풀도 베고 스프링쿨러 설치해야하구 블루베리 모아서 잼도 만들어야하구 손이 열개라도 모자라유내일은 광산가서 금광 캐야하구요그 다음날은 옆집 박씨랑 낚시내기하기로 했어유 제일 큰 놈으로다가 매운탕 하나 해먹기로 했지유그그다음날은 또 축제날이라네유 축제날 좋기는 하지만 장터에 팔 물건이 없슈 어떻게 하면 좋아	44.1	60	233	252	2018	12	1
